microRNA ID	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)
hsa-miR-10523-5p	2.467182720685271E-6	2.41147214312141E-5	0.0014894683209143104E0	-9.390986845026202E0	-671.3805093794474E0	0.009999999999999787E0	6.713805101174508E0
hsa-miR-16-2-3p	2.6299526619282083E-6	2.529763989092848E-5	1.2028922347673287E-4	-13.021204980036964E0	-8313.296661969278E0	0.009999999999990905E0	83.13296674632723E0
hsa-miR-181b-2-3p	2.7089096971293575E-6	2.5649988694693605E-5	1.2821070506658863E-4	-12.929195653460967E0	-7799.66071850733E0	0.009999999999990905E0	77.99660730304362E0
hsa-miR-192-3p	2.783675389792039E-6	2.5952419787907318E-5	1.7830596396816475E-4	-12.453357420594408E0	-5608.337364298946E0	0.010000000000005116E0	56.08337372477186E0
hsa-miR-589-3p	3.154668919913245E-6	2.896559644647616E-5	1.0565852840844493E-4	-13.208303157984197E0	-9464.451332639168E0	0.009999999999990905E0	94.64451347263423E0
hsa-miR-374b-3p	3.3131961978082142E-6	2.9687795881597265E-5	2.1718490620941407E-5	-15.490716631393468E0	-46043.71535081632E0	0.009999999999990905E0	460.4371543426331E0
hsa-miR-561-5p	3.331303828298043E-6	2.9687795881597265E-5	3.217149569838519E-5	-14.923857463951856E0	-31083.41649313475E0	0.009999999999990905E0	310.83416547406057E0
hsa-miR-1226-5p	3.4352597279319184E-6	3.0170541958358586E-5	41808.50125519288E0	15.35150870634561E0	41808.50125519288E0	418.0850133040175E0	0.010000000000019327E0
hsa-miR-5000-3p	3.540302000044641E-6	3.064890017181503E-5	7.367101939731069E-4	-10.406615173991888E0	-1357.3858597055116E0	0.00999999999999801E0	13.573858613587237E0
hsa-miR-105-5p	3.615588292159528E-6	3.085980993026302E-5	1.4918263598365429E-4	-12.710632755739889E0	-6703.192991639915E0	0.009999999999990905E0	67.03193001607036E0
hsa-miR-450a-5p	3.748784789705292E-6	3.114944915129145E-5	0.0018965087932671602E0	-9.042438223879651E0	-527.284663034584E0	0.009999999999999787E0	5.272846635926797E0
hsa-miR-20b-3p	3.752326382911347E-6	3.114944915129145E-5	9.436012843865259E-4	-10.049534997240821E0	-1059.769646933176E0	0.009999999999999787E0	10.597696481798017E0
