microRNA ID	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)
hsa-miR-664a-3p	6.68788931449839E-6	5.8737114849072815E-5	0.00981923534202175E0	-6.670173603424141E0	-101.8409239791276E0	0.010000000000000009E0	1.0184092405864218E0
hsa-miR-548l	7.3392797873805395E-6	6.353719358789438E-5	0.002678797573205499E0	-8.544198718474885E0	-373.3018164576659E0	0.010000000000000231E0	3.733018168310263E0
hsa-miR-3940-3p	7.500757015015473E-6	6.385991889449444E-5	0.004842392453043363E0	-7.690064276966025E0	-206.50949085539662E0	0.010000000000000231E0	2.065094910412917E0
hsa-miR-26b-3p	7.587317096375577E-6	6.385991889449444E-5	9.944493848058323E-4	-9.973814436492363E0	-1005.5815964884442E0	0.009999999999999787E0	10.055815976624144E0
hsa-miR-3611	7.74616202520945E-6	6.430375599009489E-5	0.0014881020024396904E0	-9.392310864822141E0	-671.9969453441602E0	0.009999999999999787E0	6.71996946082945E0
hsa-miR-548e-3p	7.973750369655417E-6	6.529855032447544E-5	6.210461084001046E-4	-10.653011996947857E0	-1610.1864039952359E0	0.00999999999999801E0	16.10186406002784E0
hsa-miR-19a-5p	8.612770920616512E-6	6.884374137154378E-5	0.00212623410425182E0	-8.877483834336175E0	-470.3150974769452E0	0.009999999999999787E0	4.703150979656613E0
hsa-miR-1257	8.698127519538708E-6	6.884374137154378E-5	0.002237594476637644E0	-8.803835686933644E0	-446.90850394959205E0	0.009999999999999787E0	4.46908504410133E0
hsa-miR-2278	8.747472088463483E-6	6.884374137154378E-5	0.004842392453043359E0	-7.690064276966027E0	-206.5094908553968E0	0.010000000000000231E0	2.0650949104129186E0
hsa-miR-147b-3p	9.916616929288137E-6	7.704448537370014E-5	7.714973670804794E-4	-10.340051146287356E0	-1296.1807034860356E0	0.009999999999999787E0	12.961807050548348E0
hsa-miR-6126	1.0118739846869834E-5	7.761970059750784E-5	655719.6574828165E0	19.322719619760672E0	655719.6574828165E0	6557.19659218788E0	0.010000000003856258E0
hsa-miR-190a-3p	1.0555614666548127E-5	7.995878109910206E-5	0.0010642484729482752E0	-9.875949264612029E0	-939.6301948451113E0	0.009999999999999787E0	9.396301959313227E0
hsa-miR-5009-5p	1.1013712138930878E-5	8.239888340977916E-5	0.0032946457156947523E0	-8.245660948925183E0	-303.5227718829631E0	0.010000000000000231E0	3.0352277217592682E0
hsa-miR-3115	1.158922784010895E-5	8.564722037934176E-5	0.001334345165941271E0	-9.549652376176077E0	-749.4312757483422E0	0.009999999999999787E0	7.494312765860597E0
hsa-miR-4766-3p	1.2896422964076611E-5	9.415942549675212E-5	0.0013208529258589225E0	-9.564314450133823E0	-757.0865615865001E0	0.009999999999999787E0	7.570865624340742E0
hsa-miR-4746-5p	1.3845806454427796E-5	9.988760370694339E-5	0.0026787975732054966E0	-8.544198718474886E0	-373.30181645766623E0	0.010000000000000231E0	3.733018168310265E0
hsa-miR-576-3p	1.609236161917377E-5	1.1472907224963888E-4	0.0024270726459305254E0	-8.686566993496816E0	-412.0189816636518E0	0.009999999999999787E0	4.120189820825832E0
hsa-miR-101-5p	1.7601260859018597E-5	1.226111409103237E-4	0.004142519006068203E0	-7.915275968048808E0	-241.3990131451761E0	0.010000000000000231E0	2.4139901336884146E0
hsa-miR-3163	1.7616329139134745E-5	1.226111409103237E-4	0.0022765911751336824E0	-8.778909045696276E0	-439.2532181107482E0	0.009999999999999787E0	4.392532185621186E0
hsa-miR-181b-2-3p	1.7804918151994203E-5	1.226111409103237E-4	0.0021262341042518297E0	-8.877483834336168E0	-470.3150974769431E0	0.009999999999999787E0	4.70315097965659E0
hsa-miR-4458	2.2950930367542178E-5	1.5627262699697257E-4	0.0024730212190797575E0	-8.659509666232333E0	-404.36369582470167E0	0.009999999999999787E0	4.043636962345689E0
hsa-miR-192-3p	2.774270918272351E-5	1.8680090849700493E-4	0.004142519006068185E0	-7.915275968048815E0	-241.39901314517715E0	0.010000000000000231E0	2.4139901336884275E0
