microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-3065-3p	1.937645720378689E-4	0.001834708291483571E0	0.0925254318188057E0	-3.434006226134981E0	-10.807839318797441E0	7.145417542585099E0	77.22652469701852E0
hsa-miR-30c-5p	2.839029658906771E-4	0.0026468491896884665E0	0.15133958742958098E0	-2.724138677604177E0	-6.607656443264091E0	507.5270401966375E0	3353.564318355421E0
hsa-miR-10b-3p	2.951246956644342E-4	0.0027097812965552596E0	0.0162236010575442E0	-5.945762108120822E0	-61.638596539267475E0	4.703150979656632E0	289.89562590007614E0
hsa-miR-192-3p	3.044305742568895E-4	0.002753506388054851E0	0.04304288373979344E0	-4.538081452546298E0	-23.232644124062098E0	2.4139901336884275E0	56.08337372477186E0
hsa-miR-363-3p	4.497346607943024E-4	0.0040079294770786365E0	0.023447583610864017E0	-5.4144169362130805E0	-42.64831790755052E0	298.2430324774516E0	12719.563670871672E0
hsa-miR-181b-2-3p	6.261729709969428E-4	0.005420868863202105E0	0.060299430251033785E0	-4.051711819123517E0	-16.583904621268886E0	4.70315097965659E0	77.99660730304362E0
hsa-miR-1278	6.560752604188605E-4	0.005599740955124359E0	0.22444392816922049E0	-2.1555730270083404E0	-4.455455793154919E0	4.779703838136756E0	21.29575916056453E0
hsa-miR-30c-2-3p	6.666141454652411E-4	0.00561066905766578E0	0.0119731878862328E0	-6.384048865785849E0	-83.51994552343372E0	8.34961628948678E0	697.3594981606327E0
hsa-let-7b-5p	8.404497493032427E-4	0.006976884220243357E0	9.918064581890265E0	3.3100586195507646E0	9.918064581890265E0	4237.780605520331E0	427.2789886462615E0
hsa-miR-664a-3p	9.174885824073532E-4	0.007513487580254811E0	0.20665319786437122E0	-2.2747164059517138E0	-4.839025044540134E0	1.0184092405864218E0	4.9281078221009755E0
