microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-767-3p	5.465099258177904E-6	6.4202256937414E-5	7964.7906379665765E0	12.95942072431134E0	7964.7906379665765E0	79.6479065004155E0	0.009999999999990905E0
hsa-miR-3200-3p	5.50910455568569E-6	6.4202256937414E-5	9581.030614502248E0	13.225965137122396E0	9581.030614502248E0	95.81030629353678E0	0.010000000000019327E0
hsa-miR-548k	6.0321433515589855E-6	6.897129945367444E-5	4732.310684658957E0	12.208329076958366E0	4732.310684658957E0	47.32310691417293E0	0.009999999999990905E0
hsa-miR-561-5p	6.171330992462532E-6	6.925604780430174E-5	9463.621368211763E0	13.208176638440108E0	9463.621368211763E0	94.63621382834587E0	0.009999999999990905E0
hsa-miR-1306-5p	6.387616719537742E-6	7.037992240072493E-5	4732.310684652232E0	12.208329076956316E0	4732.310684652232E0	47.32310691417293E0	0.010000000000005116E0
hsa-miR-365a-3p	7.766489149502207E-6	8.404450758211318E-5	28271.454853075706E0	14.78705850592022E0	28271.454853075706E0	282.7145490198467E0	0.009999999999990905E0
hsa-miR-1260a	8.298808639179569E-6	8.822943921654069E-5	61390.62962766253E0	15.905730845871997E0	61390.62962766253E0	613.9062974190572E0	0.009999999999990905E0
hsa-miR-3157-5p	9.089223638936162E-6	9.496671595164335E-5	4732.310684658957E0	12.208329076958366E0	4732.310684658957E0	47.32310691417293E0	0.009999999999990905E0
hsa-miR-493-5p	9.525728559129455E-6	9.760565186895942E-5	23540.144170571533E0	14.522835535674815E0	23540.144170571533E0	235.40144210567377E0	0.009999999999990905E0
hsa-miR-874-3p	9.663925927619744E-6	9.760565186895942E-5	11079.86134473151E0	13.43565220691851E0	11079.86134473151E0	110.79861362146715E0	0.009999999999990905E0
hsa-miR-328-3p	1.0375434657512593E-5	1.0156959009261053E-4	33002.76553544554E0	15.010299302720547E0	33002.76553544554E0	330.0276559340196E0	0.009999999999990905E0
hsa-miR-136-5p	1.0391608227296788E-5	1.0156959009261053E-4	15693.762781454983E0	13.937903678019332E0	15693.762781454983E0	156.93762807044916E0	0.009999999999990905E0
hsa-miR-9903	1.0864132523139157E-5	1.0450260807971951E-4	4732.310684658957E0	12.208329076958366E0	4732.310684658957E0	47.32310691417293E0	0.009999999999990905E0
hsa-miR-30c-2-3p	1.2083844697059624E-5	1.1441890447528331E-4	2.1106160407592385E-5	-15.531976324209817E0	-47379.53188493139E0	0.009999999999999787E0	473.79531971070276E0
hsa-miR-137-3p	1.3114581712630043E-5	1.221605193619804E-4	2.3154111859443297E-5	-15.398372054927085E0	-43188.87315006879E0	0.009999999999990905E0	431.88873227874956E0
hsa-miR-625-5p	1.3443437244917627E-5	1.221605193619804E-4	9463.621368184866E0	13.208176638436008E0	9463.621368184866E0	94.63621382834587E0	0.010000000000019327E0
hsa-miR-33b-3p	1.350619603507044E-5	1.221605193619804E-4	7964.7906379665765E0	12.95942072431134E0	7964.7906379665765E0	79.6479065004155E0	0.009999999999990905E0
hsa-miR-1268a	1.894028623844692E-5	1.6750482197479198E-4	12578.692074863442E0	13.61869429896806E0	12578.692074863442E0	125.78692094939751E0	0.010000000000019327E0
